* Date: Sat Nov 12 17:40:42 2005  Remote_host:   Remote_address: 129.97.58.55  status: student  visit: forcourse  where: University of Waterloo

* Date: Sun Nov 13 19:18:27 2005  Remote_host:   Remote_address: 212.138.47.17  status: student  visit: justtrying  where: 

* Date: Mon Nov 14 00:15:59 2005  Remote_host:   Remote_address: 199.126.243.149  status:   visit:   where: 

* Date: Mon Nov 14 01:43:18 2005  Remote_host:   Remote_address: 139.78.49.234  status: student  visit: forcourse  where: 

* Date: Mon Nov 14 06:35:29 2005  Remote_host:   Remote_address: 202.146.241.9  status: student  visit: justtrying  where: Univ Atmajaya, Jakarta

* Date: Tue Nov 15 10:25:35 2005  Remote_host:   Remote_address: 129.120.125.122  status: student  visit: joker  where: UNT

* Date: Tue Nov 15 22:16:03 2005  Remote_host:   Remote_address: 140.121.165.72  status: joker  visit: justtrying  where: National Taiwan Ocean University

* Date: Thu Nov 17 17:08:39 2005  Remote_host:   Remote_address: 162.123.17.80  status: joker  visit: justtrying  where: 

* Date: Fri Nov 18 12:18:46 2005  Remote_host:   Remote_address: 130.240.156.166  status: instructor  visit: forcourse  where: Dept. of Business Administration & Social Sciences, Lulea university of technology, Sweden

* Date: Fri Nov 18 12:21:20 2005  Remote_host:   Remote_address: 130.240.156.166  status:   visit:   where: 

* Date: Fri Nov 18 12:21:20 2005  Remote_host:   Remote_address: 130.240.156.166  status:   visit:   where: 

* Date: Sat Nov 19 18:42:11 2005  Remote_host:   Remote_address: 201.127.40.150  status: student  visit: justtrying  where: 

* Date: Sun Nov 20 03:55:30 2005  Remote_host:   Remote_address: 69.226.8.94  status: joker  visit: justtrying  where: 

* Date: Sun Nov 20 12:57:45 2005  Remote_host:   Remote_address: 67.165.181.26  status: joker  visit: justtrying  where: 

* Date: Sun Nov 20 22:21:19 2005  Remote_host:   Remote_address: 24.197.194.169  status: joker  visit: forcourse  where: Mathematics, Bethany Lutheran College, Mankato, MN

* Date: Mon Nov 21 14:03:56 2005  Remote_host:   Remote_address: 128.187.0.164  status: joker  visit: justtrying  where: 

* Date: Tue Nov 22 01:08:42 2005  Remote_host:   Remote_address: 69.110.65.205  status: student  visit: forcourse  where: 

* Date: Tue Nov 22 01:09:29 2005  Remote_host:   Remote_address: 69.110.65.205  status:   visit:   where: 

